preset_id,gender,role,layer,file_name,output_path,canvas_w,canvas_h,anchor_x,anchor_y,placed_x,placed_y,sprite_w,sprite_h,note
F_RESEARCHER_001,female,researcher,body,F_RESEARCHER_001_body.png,/mnt/data/role_layered_prototype_1024x1536/assets/body/F_RESEARCHER_001_body.png,1024,1536,512,1216,320,116,384,1100,prototype from flattened preview
F_RESEARCHER_001,female,researcher,outfit,F_RESEARCHER_001_outfit.png,/mnt/data/role_layered_prototype_1024x1536/assets/outfit/F_RESEARCHER_001_outfit.png,1024,1536,512,1216,255,116,514,1100,prototype from flattened preview
F_RESEARCHER_001,female,researcher,hairBack,F_RESEARCHER_001_hairBack.png,/mnt/data/role_layered_prototype_1024x1536/assets/hairBack/F_RESEARCHER_001_hairBack.png,1024,1536,512,1216,256,116,512,1100,prototype from flattened preview
F_RESEARCHER_001,female,researcher,face,F_RESEARCHER_001_face.png,/mnt/data/role_layered_prototype_1024x1536/assets/face/F_RESEARCHER_001_face.png,1024,1536,512,1216,232,490,560,726,prototype from flattened preview
F_RESEARCHER_001,female,researcher,eyes,F_RESEARCHER_001_eyes.png,/mnt/data/role_layered_prototype_1024x1536/assets/eyes/F_RESEARCHER_001_eyes.png,1024,1536,512,1216,232,948,560,268,prototype from flattened preview
F_RESEARCHER_001,female,researcher,hairFront,F_RESEARCHER_001_hairFront.png,/mnt/data/role_layered_prototype_1024x1536/assets/hairFront/F_RESEARCHER_001_hairFront.png,1024,1536,512,1216,232,504,560,712,prototype from flattened preview
F_RESEARCHER_001,female,researcher,accessory,F_RESEARCHER_001_accessory.png,/mnt/data/role_layered_prototype_1024x1536/assets/accessory/F_RESEARCHER_001_accessory.png,1024,1536,512,1216,232,529,560,687,prototype from flattened preview
M_PROGRAMMER_001,male,programmer,body,M_PROGRAMMER_001_body.png,/mnt/data/role_layered_prototype_1024x1536/assets/body/M_PROGRAMMER_001_body.png,1024,1536,512,1216,232,150,560,1066,prototype from flattened preview
M_PROGRAMMER_001,male,programmer,outfit,M_PROGRAMMER_001_outfit.png,/mnt/data/role_layered_prototype_1024x1536/assets/outfit/M_PROGRAMMER_001_outfit.png,1024,1536,512,1216,232,244,560,972,prototype from flattened preview
M_PROGRAMMER_001,male,programmer,hairBack,M_PROGRAMMER_001_hairBack.png,/mnt/data/role_layered_prototype_1024x1536/assets/hairBack/M_PROGRAMMER_001_hairBack.png,1024,1536,512,1216,232,550,560,666,prototype from flattened preview
M_PROGRAMMER_001,male,programmer,face,M_PROGRAMMER_001_face.png,/mnt/data/role_layered_prototype_1024x1536/assets/face/M_PROGRAMMER_001_face.png,1024,1536,512,1216,232,563,560,653,prototype from flattened preview
M_PROGRAMMER_001,male,programmer,eyes,M_PROGRAMMER_001_eyes.png,/mnt/data/role_layered_prototype_1024x1536/assets/eyes/M_PROGRAMMER_001_eyes.png,1024,1536,512,1216,232,970,560,246,prototype from flattened preview
M_PROGRAMMER_001,male,programmer,hairFront,M_PROGRAMMER_001_hairFront.png,/mnt/data/role_layered_prototype_1024x1536/assets/hairFront/M_PROGRAMMER_001_hairFront.png,1024,1536,512,1216,232,700,560,516,prototype from flattened preview
M_PROGRAMMER_001,male,programmer,accessory,M_PROGRAMMER_001_accessory.png,/mnt/data/role_layered_prototype_1024x1536/assets/accessory/M_PROGRAMMER_001_accessory.png,1024,1536,512,1216,232,576,560,640,prototype from flattened preview
M_ENGINEER_001,male,engineer,body,M_ENGINEER_001_body.png,/mnt/data/role_layered_prototype_1024x1536/assets/body/M_ENGINEER_001_body.png,1024,1536,512,1216,232,159,560,1057,prototype from flattened preview
M_ENGINEER_001,male,engineer,outfit,M_ENGINEER_001_outfit.png,/mnt/data/role_layered_prototype_1024x1536/assets/outfit/M_ENGINEER_001_outfit.png,1024,1536,512,1216,232,205,560,1011,prototype from flattened preview
M_ENGINEER_001,male,engineer,hairBack,M_ENGINEER_001_hairBack.png,/mnt/data/role_layered_prototype_1024x1536/assets/hairBack/M_ENGINEER_001_hairBack.png,1024,1536,512,1216,232,570,560,646,prototype from flattened preview
M_ENGINEER_001,male,engineer,face,M_ENGINEER_001_face.png,/mnt/data/role_layered_prototype_1024x1536/assets/face/M_ENGINEER_001_face.png,1024,1536,512,1216,232,581,560,635,prototype from flattened preview
M_ENGINEER_001,male,engineer,eyes,M_ENGINEER_001_eyes.png,/mnt/data/role_layered_prototype_1024x1536/assets/eyes/M_ENGINEER_001_eyes.png,1024,1536,512,1216,232,970,560,246,prototype from flattened preview
M_ENGINEER_001,male,engineer,hairFront,M_ENGINEER_001_hairFront.png,/mnt/data/role_layered_prototype_1024x1536/assets/hairFront/M_ENGINEER_001_hairFront.png,1024,1536,512,1216,232,734,560,482,prototype from flattened preview
M_ENGINEER_001,male,engineer,accessory,M_ENGINEER_001_accessory.png,/mnt/data/role_layered_prototype_1024x1536/assets/accessory/M_ENGINEER_001_accessory.png,1024,1536,512,1216,232,672,560,544,prototype from flattened preview
